ID,Gender,CustomerType,Age,TypeTravel,Travel_Class,Travel_Distance,DepartureDelay_in_Mins,ArrivalDelay_in_Mins,Seat_comfort,Seat_Class,Arrival_time_convenient,Catering,Platform_location,Onboardwifi_service,Onboard_entertainment,Online_support,Onlinebooking_Ease,Onboard_service,Leg_room,Baggage_handling,Checkin_service,Cleanliness,Online_boarding,Target_Act,Target_Pre
98855320,1,0,48.0,0,1,1952,12.0,8.0,4,1,4,0,3,4,4,4,4,4,1,0,3,0,4,0,0
98849964,1,0,56.0,0,0,2467,0.0,3.0,3,1,3,3,0,3,3,3,1,3,3,1,3,1,3,1,1
98826137,0,1,26.0,0,0,1242,22.0,72.0,3,0,2,3,1,3,3,3,3,3,1,1,1,3,3,1,1
98838034,0,0,49.0,0,0,1779,0.0,0.0,0,1,3,3,0,0,3,3,0,0,0,0,3,0,3,0,0
98838298,1,0,45.0,1,1,2064,0.0,0.0,4,1,5,0,2,4,4,4,4,4,0,2,4,3,4,0,0
98805162,0,0,18.0,1,1,2398,0.0,0.0,1,0,4,0,2,1,1,1,1,4,0,1,5,5,1,1,1
98838924,0,0,32.0,1,1,2591,17.0,0.0,3,0,4,3,1,1,3,1,1,3,5,3,5,5,1,1,1
98891489,1,0,7.0,1,1,1854,0.0,0.0,4,0,0,0,2,1,4,1,1,3,3,0,3,3,1,0,0
98808844,1,0,45.0,0,0,880,0.0,3.0,0,0,0,0,2,1,1,1,3,3,3,2,1,3,0,1,1
98834991,0,0,56.0,0,1,1025,0.0,0.0,1,0,0,0,2,0,4,4,1,1,1,1,3,1,5,1,1
98868257,1,0,25.0,1,1,2534,0.0,0.0,2,0,5,2,2,4,2,4,4,0,1,3,5,3,4,1,1
98817180,0,0,43.0,0,0,1747,0.0,6.0,1,0,1,1,4,4,1,3,1,1,1,1,0,1,0,1,1
98841269,0,1,39.0,0,0,2319,0.0,0.0,4,0,4,4,1,3,4,3,3,0,4,2,0,4,3,0,0
98845652,0,0,44.0,0,0,4385,215.0,221.0,1,0,1,1,4,1,1,1,3,3,3,1,1,0,1,1,1
98891969,0,0,21.0,0,1,1747,0.0,0.0,3,0,3,3,2,3,0,0,3,4,0,3,0,0,0,0,0
98874504,1,0,39.0,0,0,1539,0.0,0.0,4,0,4,0,3,4,1,1,3,3,3,2,1,3,1,1,1
98833624,0,0,41.0,0,0,393,2.0,2.0,1,1,1,0,4,0,1,3,3,3,3,2,3,3,1,1,1
98855086,1,0,31.0,0,0,4971,0.0,7.0,0,0,0,0,2,3,3,3,3,0,4,2,0,1,3,1,1
98807795,1,0,47.0,0,1,1934,0.0,0.0,1,0,1,1,4,1,1,1,1,5,3,1,1,3,1,1,1
98825595,0,0,22.0,0,1,2007,23.0,28.0,0,0,4,0,2,3,0,3,3,5,4,2,3,3,3,0,0
98856447,0,0,35.0,0,0,1074,0.0,0.0,3,1,1,0,1,3,3,3,4,4,1,3,1,4,1,0,1
98839277,1,0,41.0,1,1,1628,0.0,0.0,0,0,4,0,2,0,0,4,0,3,1,0,0,0,0,0,0
98820480,1,0,39.0,0,0,333,108.0,91.0,0,0,4,0,2,1,3,0,1,1,1,1,4,1,3,1,1
98839501,0,0,20.0,1,1,1028,3.0,0.0,3,1,0,3,1,0,3,0,0,5,0,1,1,3,0,0,0
98807390,0,0,22.0,0,1,2352,9.0,2.0,2,1,2,2,1,4,2,4,4,1,4,1,3,3,4,1,1
98838823,0,0,40.0,1,1,1488,1.0,0.0,3,1,0,3,2,4,3,4,4,3,4,0,0,3,4,0,0
98847449,0,0,14.0,1,1,2633,9.0,1.0,1,1,1,4,3,1,1,1,1,1,4,2,4,5,1,1,1
98863467,1,0,60.0,0,0,2435,0.0,1.0,0,0,0,3,2,4,1,3,1,3,3,1,0,1,1,1,1
98840546,0,0,19.0,0,0,2634,9.0,21.0,4,1,1,4,4,4,4,4,4,5,0,2,0,3,4,0,0
98855189,1,0,68.0,1,1,1814,0.0,0.0,3,0,0,3,3,5,3,5,5,4,4,0,3,1,5,1,0
98850913,0,0,33.0,1,1,2107,13.0,10.0,1,0,1,1,4,3,3,0,1,1,1,1,3,1,4,1,1
98868290,0,0,43.0,0,0,672,15.0,5.0,0,1,0,0,2,0,1,1,3,3,3,2,3,3,3,1,1
98858840,1,0,42.0,1,1,1839,8.0,7.0,4,1,0,4,2,4,4,4,4,0,1,0,3,0,4,0,0
98832764,0,1,36.0,0,1,1810,52.0,51.0,3,1,4,3,0,1,3,1,1,4,3,0,3,3,1,0,0
98879611,0,0,48.0,1,1,604,25.0,34.0,2,0,1,5,3,0,3,1,0,0,0,0,1,0,3,1,1
98888971,1,0,39.0,1,1,2944,16.0,0.0,1,0,4,4,3,1,1,1,1,1,3,0,5,0,1,1,1
98846394,1,0,40.0,1,1,1300,47.0,36.0,0,1,0,0,2,0,0,0,0,4,0,1,1,0,0,1,0
98857048,1,1,44.0,0,1,2953,0.0,0.0,5,1,5,5,3,3,5,3,3,3,5,3,1,5,3,0,0
98882644,1,0,22.0,0,0,2056,0.0,0.0,3,1,3,5,0,3,3,3,3,3,3,1,3,3,3,1,1
98861704,0,0,49.0,0,0,381,35.0,42.0,2,1,2,0,0,4,1,1,1,1,1,1,1,1,0,1,1
98815139,0,1,58.0,0,1,1984,0.0,0.0,5,0,4,5,3,5,5,5,5,3,0,3,5,0,5,0,0
98830639,1,0,30.0,1,1,3083,0.0,0.0,4,1,1,0,4,4,4,5,4,1,3,0,1,1,4,0,0
98815493,0,0,10.0,1,1,2153,9.0,10.0,3,1,3,3,0,0,1,3,1,1,1,1,1,1,3,1,1
98891076,0,0,69.0,0,1,411,11.0,2.0,4,0,1,0,4,5,3,3,4,4,4,3,4,4,3,0,0
98809487,0,1,23.0,0,1,1896,0.0,0.0,0,1,5,0,2,3,0,3,3,3,0,3,5,4,3,0,0
98818613,0,0,29.0,1,1,1454,20.0,19.0,1,0,1,1,4,1,0,1,4,4,4,3,0,4,3,1,1
98802081,1,0,41.0,0,0,3962,17.0,4.0,0,1,0,1,2,0,1,3,1,1,1,1,0,1,3,1,1
98855654,1,0,50.0,0,1,2713,172.0,154.0,4,0,0,0,2,4,5,5,3,3,3,2,5,0,5,0,0
98820604,0,0,35.0,0,1,1379,0.0,0.0,3,0,5,5,1,3,3,3,3,1,5,0,0,1,3,1,1
98817274,0,0,49.0,0,0,1724,30.0,15.0,0,0,0,3,2,0,3,3,1,1,1,1,1,1,1,1,1
98878968,1,1,20.0,0,0,2036,8.0,0.0,1,0,2,1,1,4,1,4,4,3,3,2,1,3,4,1,1
98805204,0,0,34.0,0,0,2602,0.0,0.0,4,0,4,3,3,4,5,4,1,3,3,2,4,1,3,1,1
98871428,0,0,52.0,0,1,619,0.0,1.0,1,0,3,3,0,3,3,0,1,1,1,1,5,1,0,1,1
98831540,0,1,26.0,0,1,1270,0.0,0.0,0,1,4,0,0,5,0,5,5,0,0,0,5,0,5,0,0
98800509,0,1,22.0,0,1,1594,17.0,43.0,3,0,4,3,0,0,3,0,0,5,3,2,4,3,0,0,0
98813760,0,0,35.0,0,0,2851,0.0,0.0,4,1,0,0,2,4,0,0,4,4,4,3,0,4,5,0,0
98878633,1,0,35.0,0,1,1848,25.0,21.0,5,1,0,4,3,5,5,5,5,3,3,2,4,3,5,0,0
98831025,0,1,19.0,0,0,2002,0.0,0.0,1,0,2,0,1,5,1,3,5,0,1,1,3,3,5,1,1
98833995,0,0,7.0,1,1,1792,88.0,102.0,1,0,5,1,4,3,1,3,1,1,1,2,3,1,0,1,1
98808909,0,1,27.0,0,0,1545,3.0,16.0,1,0,1,1,4,3,5,3,3,3,4,1,1,1,3,1,1
98804142,1,0,50.0,0,0,3963,0.0,0.0,5,0,5,5,1,1,5,3,3,3,3,1,1,3,5,1,1
98889587,1,0,47.0,1,1,2527,0.0,0.0,0,1,0,0,0,0,0,0,0,5,4,2,0,3,0,0,0
98868988,0,0,40.0,0,0,1304,0.0,24.0,3,0,3,3,0,3,3,1,1,1,1,1,1,1,3,1,1
98882383,1,0,56.0,0,0,2883,0.0,8.0,3,1,3,3,0,3,3,3,0,1,0,2,3,1,3,1,1
98840061,0,0,45.0,0,0,1063,38.0,37.0,1,0,1,1,4,4,1,3,1,1,1,1,3,1,1,1,1
98804550,1,0,34.0,1,1,1981,0.0,6.0,4,0,3,4,2,3,4,3,3,1,1,2,3,1,3,0,0
98856608,0,0,30.0,0,1,2588,30.0,13.0,1,0,5,3,1,1,1,1,1,1,1,2,5,3,1,1,1
98850183,1,0,40.0,0,0,1038,0.0,0.0,3,0,3,0,0,3,3,3,3,3,3,2,1,3,3,1,1
98879881,0,0,45.0,0,0,4414,242.0,221.0,3,0,0,3,0,3,1,1,1,4,1,1,1,1,1,1,1
98856752,0,0,9.0,1,1,2068,0.0,0.0,1,0,1,1,4,3,3,1,1,1,1,1,0,1,1,1,1
98846411,1,0,52.0,1,1,1642,0.0,0.0,2,1,1,2,1,3,2,3,3,3,0,1,1,3,3,1,1
98824418,0,0,44.0,0,0,257,0.0,0.0,5,0,5,5,1,4,1,1,3,3,3,2,0,3,3,1,1
98888370,0,0,59.0,0,0,3794,18.0,26.0,5,0,5,3,1,1,3,1,3,3,3,2,1,3,1,1,1
98821980,0,0,42.0,1,1,1094,18.0,3.0,0,0,0,0,2,1,1,3,3,3,3,1,0,3,0,1,1
98866385,1,1,21.0,0,1,1081,0.0,0.0,5,1,1,2,3,0,2,0,0,1,3,2,0,1,0,0,0
98872039,1,0,37.0,1,1,4139,0.0,17.0,0,1,1,0,2,0,0,0,0,0,4,2,0,3,0,0,0
98886896,0,0,21.0,1,1,1912,0.0,0.0,1,1,3,3,0,3,1,5,1,1,1,1,0,1,5,1,1
98835775,0,0,52.0,0,0,1585,3.0,0.0,3,0,3,4,0,0,1,1,1,1,1,1,1,1,1,1,1
98853076,1,0,44.0,0,0,2787,0.0,0.0,3,1,3,0,0,1,1,3,3,3,3,2,0,3,1,1,1
98834281,0,0,48.0,1,1,547,0.0,0.0,5,0,1,5,1,1,3,1,1,1,1,2,1,1,1,1,1
98810536,0,0,18.0,1,1,1262,0.0,0.0,1,1,0,0,2,1,1,1,1,1,5,0,0,4,1,1,1
98878053,0,1,43.0,0,1,2257,0.0,4.0,3,0,2,3,1,3,3,3,3,4,4,3,3,1,3,0,0
98860579,1,0,49.0,0,0,405,0.0,0.0,5,0,4,4,3,5,0,0,5,5,5,4,5,5,4,0,0
98856533,1,0,39.0,1,1,2458,0.0,0.0,4,0,1,4,1,3,4,3,3,0,1,1,3,3,3,0,0
98806562,0,0,43.0,1,1,410,0.0,0.0,3,1,3,1,1,5,1,5,5,0,4,1,1,3,5,1,1
98806771,1,1,25.0,0,1,2376,5.0,0.0,0,0,1,4,2,4,4,4,4,5,4,3,1,5,4,0,0
98860235,1,0,52.0,0,1,1031,0.0,0.0,1,1,5,5,1,1,1,1,1,3,5,1,0,1,1,1,1
98871127,1,0,60.0,0,0,3307,19.0,27.0,4,1,4,4,3,4,3,1,3,3,3,2,0,3,3,1,1
98824075,0,0,44.0,0,0,1394,0.0,19.0,1,1,1,1,4,3,3,3,1,1,1,1,0,1,3,1,1
98893996,0,1,44.0,0,1,1280,0.0,0.0,5,0,2,5,2,0,5,0,0,4,5,2,5,3,0,0,0
98876749,0,0,40.0,1,1,1984,0.0,0.0,1,1,1,1,4,3,3,3,3,3,1,1,3,3,3,1,1
98837352,1,0,55.0,0,0,4017,2.0,0.0,3,0,3,0,0,3,1,3,1,1,1,1,1,1,1,1,1
98884486,1,0,22.0,1,1,2301,20.0,17.0,0,1,0,0,4,1,0,1,1,3,1,1,1,3,1,0,0
98867184,1,1,40.0,0,0,1825,0.0,0.0,1,0,3,3,0,4,3,4,4,3,1,1,3,1,4,1,1
98825233,0,1,49.0,0,1,1584,0.0,14.0,3,1,0,3,2,4,3,4,4,3,3,0,1,4,4,1,0
98858722,1,1,45.0,0,1,1403,0.0,0.0,4,1,1,4,3,0,4,0,0,3,3,2,0,0,0,0,0
98864264,0,1,19.0,0,1,2238,0.0,0.0,4,1,4,4,4,4,4,4,4,3,0,2,3,3,4,0,0
98835701,1,0,47.0,0,0,3294,0.0,9.0,0,0,0,4,2,3,1,1,3,3,3,2,1,3,1,1,1
98802602,1,0,39.0,0,1,1082,0.0,0.0,4,0,5,5,1,4,4,4,4,4,3,2,4,0,4,0,0
98828323,0,0,60.0,0,1,666,0.0,0.0,3,0,4,0,3,1,4,0,3,3,3,2,3,3,1,1,1
98870504,1,0,54.0,0,0,3261,0.0,0.0,1,0,1,4,4,0,3,1,3,3,3,2,0,3,0,1,1
98886458,1,0,40.0,0,0,467,4.0,0.0,4,1,1,1,4,0,0,0,4,4,4,3,3,4,5,0,0
98844792,1,0,20.0,1,1,1697,62.0,70.0,4,1,4,2,0,0,2,5,0,5,0,2,0,3,0,0,0
98800279,0,1,27.0,0,1,1788,0.0,0.0,4,1,2,4,1,4,4,4,4,4,3,3,3,4,4,0,0
98814665,1,0,46.0,0,0,2967,0.0,0.0,3,1,1,3,0,1,3,3,3,3,3,2,1,3,1,1,1
98877857,0,0,54.0,0,0,3026,0.0,0.0,0,1,1,0,2,3,3,1,3,3,3,1,0,3,1,1,1
98878747,1,0,26.0,0,0,5570,158.0,213.0,3,1,3,0,0,0,0,0,0,1,1,1,0,3,0,1,1
98809175,0,0,55.0,1,0,748,0.0,0.0,5,0,5,4,1,3,3,1,0,0,3,0,3,0,3,1,1
98853048,1,0,30.0,0,0,4185,0.0,0.0,0,0,0,0,2,1,1,1,1,3,0,0,5,4,1,1,1
98821808,1,0,32.0,0,1,1569,61.0,55.0,1,1,0,0,2,1,1,1,1,5,0,3,0,0,1,1,1
98887068,0,0,52.0,0,0,1628,0.0,0.0,0,1,0,0,2,3,1,3,3,3,3,2,0,3,1,1,1
98880947,0,0,34.0,1,1,1961,0.0,0.0,3,1,1,3,0,0,3,0,0,5,5,1,4,1,0,0,0
98835335,1,0,40.0,1,1,1556,4.0,0.0,0,1,0,0,1,4,0,4,4,3,5,2,0,0,4,0,0
98892556,0,0,56.0,0,0,2744,0.0,0.0,0,1,0,0,2,0,1,1,1,1,1,1,0,1,1,1,1
98891143,0,1,34.0,0,1,1812,0.0,1.0,4,1,5,4,0,1,4,1,1,5,4,0,3,3,1,0,0
98888994,0,0,37.0,1,0,1216,0.0,2.0,4,0,1,0,3,1,3,3,4,4,4,3,3,4,1,1,0
98888843,1,1,43.0,0,1,1868,0.0,0.0,4,0,4,4,0,3,4,3,3,5,0,0,4,3,3,0,0
98842856,1,0,43.0,0,0,937,0.0,0.0,4,1,4,4,3,3,3,1,1,3,1,1,3,1,0,1,1
98855157,0,0,72.0,0,1,1500,0.0,8.0,0,0,5,1,4,0,4,4,0,0,0,0,5,0,4,0,0
98874215,0,0,41.0,0,0,391,0.0,0.0,4,1,4,4,3,0,3,3,3,3,3,2,1,3,3,1,1
98873806,1,1,27.0,0,1,3365,113.0,101.0,5,0,5,0,2,1,5,0,1,3,5,0,4,3,1,0,0
98825435,1,0,46.0,0,0,1994,5.0,0.0,1,1,1,1,4,3,3,3,1,1,1,1,3,1,3,1,1
98853340,1,1,19.0,0,0,1421,0.0,0.0,4,1,4,0,0,0,4,0,0,5,1,0,5,3,0,0,0
98823568,1,0,43.0,0,0,1581,0.0,2.0,3,0,3,4,0,4,1,3,0,0,0,0,0,0,0,1,1
98810564,1,0,48.0,0,0,2302,187.0,186.0,4,1,4,4,3,3,3,3,1,3,3,1,3,1,3,1,1
98872211,0,0,38.0,0,0,2947,0.0,1.0,0,0,0,0,2,3,3,1,1,1,1,1,3,1,0,1,1
98869515,0,0,48.0,0,0,566,0.0,0.0,1,0,1,1,4,0,1,5,1,1,1,1,1,1,4,1,1
98834534,1,0,70.0,1,1,1755,0.0,0.0,4,0,3,4,0,5,4,5,5,1,0,1,0,3,5,0,0
98861846,1,0,50.0,0,1,3493,0.0,0.0,4,0,3,3,0,4,4,4,3,0,0,0,4,4,4,0,0
98853843,0,0,31.0,1,1,2161,27.0,27.0,4,1,0,4,3,3,3,3,3,0,0,1,0,1,3,1,1
98814802,1,0,51.0,0,0,999,0.0,0.0,3,0,1,3,0,1,3,1,1,1,1,1,1,1,0,1,1
98888410,0,0,16.0,1,1,3227,2.0,3.0,2,0,2,2,0,1,1,1,5,5,5,4,0,5,1,1,1
98823385,1,0,43.0,0,0,4133,146.0,124.0,5,0,5,5,1,1,1,1,3,1,3,1,1,0,1,1,1
98830654,1,0,27.0,1,1,1648,9.0,17.0,5,1,5,0,1,1,2,4,1,4,5,4,5,5,1,0,0
98875715,0,0,56.0,0,1,220,0.0,0.0,3,1,1,1,4,3,4,4,3,3,3,2,1,3,5,1,1
98835889,1,0,42.0,0,0,615,16.0,8.0,4,1,4,4,3,0,1,3,0,0,0,0,0,0,1,1,1
98894335,0,0,51.0,0,0,2159,11.0,3.0,0,0,0,0,2,0,3,1,1,1,1,1,3,1,0,1,1
98848546,0,0,25.0,0,0,3663,67.0,66.0,4,0,0,0,2,4,4,4,4,0,3,2,0,0,4,0,0
98861019,0,0,33.0,1,1,2102,0.0,0.0,1,1,1,1,4,4,4,4,4,3,1,2,1,1,4,1,1
98810073,0,0,57.0,1,1,995,5.0,0.0,5,0,5,1,1,1,1,1,3,3,3,2,1,3,3,1,1
98858801,0,1,8.0,0,1,2858,50.0,71.0,4,1,3,4,0,4,4,4,4,3,1,3,3,3,4,0,0
98853008,0,0,47.0,0,0,614,0.0,0.0,4,0,4,4,3,0,1,3,1,1,1,1,0,1,1,1,1
98860243,1,0,25.0,0,0,3473,7.0,16.0,0,1,0,0,2,1,1,1,1,1,4,2,1,1,1,1,1
98830803,0,0,44.0,1,1,467,0.0,0.0,2,1,3,2,0,0,3,1,1,1,2,3,0,1,3,1,1
98855984,0,0,61.0,1,1,1918,46.0,32.0,3,1,0,1,0,5,0,0,0,0,1,0,4,0,4,0,0
98835669,1,1,55.0,0,0,2342,31.0,28.0,1,1,1,1,0,4,1,3,4,0,4,1,0,1,4,1,1
98811925,0,0,53.0,0,0,1529,0.0,9.0,1,0,1,1,4,3,1,3,3,3,1,2,0,3,1,1,1
98828284,0,1,36.0,0,1,1741,29.0,13.0,3,1,4,3,0,1,3,1,1,3,4,0,4,0,1,0,0
98811321,0,0,61.0,0,0,363,0.0,2.0,3,1,3,3,0,1,1,5,3,3,3,2,1,3,3,1,1
98842559,1,0,53.0,0,0,2751,0.0,0.0,1,0,1,1,4,4,0,3,3,3,3,2,1,3,3,1,1
98874406,1,0,31.0,1,0,2415,0.0,0.0,4,0,5,4,2,5,4,5,5,3,3,0,4,4,5,0,0
98844204,0,0,47.0,0,0,992,0.0,0.0,4,0,4,4,3,4,3,3,0,0,0,0,0,0,3,1,1
98824360,1,0,53.0,0,1,1186,7.0,10.0,3,1,0,0,2,3,3,3,3,4,4,0,5,5,3,1,1
98889050,0,1,24.0,0,0,2216,0.0,0.0,3,0,4,0,0,5,0,5,5,3,1,2,3,3,5,1,1
98887739,1,1,26.0,0,0,4491,0.0,43.0,0,0,0,0,3,0,0,0,5,4,5,0,0,3,0,0,0
98824402,0,0,17.0,1,1,3798,9.0,8.0,5,1,5,5,1,4,1,3,1,1,1,1,1,1,0,1,1
98838257,0,0,31.0,1,1,2108,0.0,0.0,1,1,1,1,4,1,1,3,4,4,0,3,3,4,3,1,1
98868309,1,0,68.0,0,1,2516,3.0,8.0,0,1,0,0,2,3,0,3,3,3,5,3,4,0,3,0,0
98867233,1,0,33.0,1,1,4354,0.0,0.0,3,1,0,0,2,3,4,4,0,1,4,3,4,0,4,1,1
98806999,1,0,50.0,0,0,864,0.0,0.0,1,1,1,3,4,1,1,3,3,3,3,2,3,3,1,1,1
98836455,1,1,40.0,0,0,1426,22.0,20.0,5,1,5,5,0,0,5,0,0,1,0,1,3,3,0,0,0
98820843,1,1,37.0,0,0,1599,0.0,0.0,0,1,0,0,2,3,0,0,3,0,1,2,1,3,3,0,0
98818682,0,1,23.0,0,0,2054,0.0,0.0,3,1,1,3,2,0,3,0,0,1,0,1,0,1,0,1,1
98874538,0,0,35.0,0,0,3087,38.0,16.0,5,0,1,1,4,5,0,0,1,1,3,4,4,1,4,0,0
98868214,0,0,50.0,1,1,901,28.0,25.0,2,1,1,2,1,3,5,1,4,4,4,3,4,4,4,1,1
98831022,1,0,41.0,1,1,1316,0.0,0.0,0,1,3,0,2,0,0,0,0,4,3,0,1,4,0,0,0
98887291,0,0,56.0,0,0,91,5.0,0.0,0,0,0,0,2,4,4,3,3,3,3,0,3,3,4,1,1
98809069,0,0,42.0,0,0,444,0.0,0.0,4,1,4,4,3,1,1,0,1,1,3,1,0,1,0,1,1
98821601,1,0,30.0,0,1,2386,3.0,16.0,5,0,5,5,2,5,5,5,5,4,3,4,3,0,5,0,0
98809202,1,0,48.0,0,0,1652,0.0,0.0,0,1,0,3,2,0,3,1,4,3,4,3,3,4,3,1,1
98886534,0,0,31.0,0,0,2302,0.0,0.0,5,1,4,4,3,5,5,5,5,4,3,0,4,0,5,0,0
98851164,1,0,64.0,1,1,1153,0.0,0.0,4,1,5,4,2,0,4,0,0,5,1,3,0,4,0,0,0
98837470,1,0,12.0,1,1,1311,40.0,39.0,0,0,3,0,2,5,0,5,5,4,5,0,0,0,5,0,0
98822333,0,1,21.0,0,1,2065,67.0,55.0,0,0,0,0,2,5,0,5,5,3,3,0,0,4,5,0,0
98815770,0,0,49.0,0,0,2785,30.0,33.0,5,0,5,0,1,3,3,1,1,1,1,1,3,1,0,1,1
98830618,0,0,18.0,1,1,1797,23.0,23.0,3,0,5,1,1,1,1,1,1,5,0,4,3,5,1,0,1
98856782,0,0,55.0,1,1,1085,0.0,0.0,1,0,1,3,0,4,1,3,4,4,3,3,3,4,1,1,1
98889418,1,0,29.0,1,1,1577,2.0,11.0,5,0,5,5,2,4,5,4,4,0,0,2,4,0,4,0,0
98886395,0,0,61.0,1,1,629,54.0,67.0,5,1,5,0,1,4,3,1,1,1,1,1,3,1,3,1,1
98871982,0,0,59.0,0,0,489,48.0,40.0,3,1,3,3,0,4,3,1,3,3,3,2,1,3,1,1,1
98845878,0,0,50.0,0,1,2178,0.0,0.0,1,0,3,1,0,4,0,1,1,1,1,1,3,1,3,1,1
98853168,1,1,25.0,0,1,2229,0.0,4.0,3,1,3,0,2,0,3,0,0,4,0,0,5,0,0,0,0
98852043,0,0,28.0,0,0,2785,0.0,0.0,0,0,0,0,2,3,1,3,3,3,0,2,3,1,3,1,1
98829618,0,0,35.0,0,0,2842,0.0,0.0,1,0,1,1,4,1,5,5,1,1,1,2,0,1,1,1,1
98814540,1,0,24.0,0,0,3591,8.0,24.0,0,1,3,3,0,0,0,0,0,4,3,0,5,0,0,0,0
98832799,1,0,46.0,0,0,1446,4.0,0.0,1,1,1,1,4,4,1,3,3,3,3,2,3,3,1,1,1
98846246,1,0,34.0,1,1,4050,0.0,5.0,3,1,4,3,2,3,5,5,3,1,0,0,5,5,5,0,0
98807111,1,0,33.0,0,0,3176,0.0,0.0,5,0,2,2,2,3,2,3,3,4,0,0,4,3,3,0,0
98834649,1,0,56.0,1,1,1495,0.0,23.0,4,1,1,0,1,3,4,3,3,3,4,2,0,4,3,0,0
98864624,1,0,60.0,0,0,341,0.0,0.0,5,0,5,5,1,4,3,3,1,1,1,1,1,1,0,1,1
98880659,0,0,46.0,0,0,1065,0.0,0.0,1,0,1,1,4,4,0,1,3,3,1,2,1,3,5,1,1
98880166,0,0,42.0,1,1,1510,20.0,12.0,1,1,4,1,2,0,3,3,4,4,1,3,5,4,4,1,1
98888895,1,0,57.0,0,1,2119,84.0,79.0,3,0,5,5,1,3,3,3,3,3,4,0,4,4,3,0,0
98848463,0,1,29.0,0,0,2024,0.0,0.0,0,0,0,0,1,5,0,5,5,0,0,1,0,3,5,0,0
98834728,0,0,44.0,1,1,1050,0.0,13.0,3,1,5,5,1,0,0,0,3,3,3,2,4,3,5,0,1
98849728,1,0,38.0,0,1,1137,0.0,0.0,0,1,4,4,3,0,0,0,0,3,1,0,0,0,0,0,0
98830844,0,0,23.0,1,1,1942,0.0,0.0,0,0,1,1,2,5,1,5,5,1,4,3,4,0,5,1,0
98870288,0,1,24.0,0,1,1831,7.0,0.0,3,0,1,3,0,3,3,3,3,0,4,1,0,3,3,1,0
98863765,0,0,38.0,1,1,3034,1.0,0.0,1,1,1,1,4,0,1,1,4,4,4,3,0,4,3,1,1
98871263,1,1,47.0,0,1,1667,0.0,0.0,5,1,2,5,2,0,5,0,0,3,5,3,4,0,0,0,0
98836170,1,0,59.0,0,0,228,0.0,0.0,5,0,5,5,1,0,3,1,1,1,1,1,1,1,3,1,1
98837382,0,0,13.0,1,0,1577,0.0,18.0,3,0,3,3,0,4,1,1,3,3,3,2,1,3,3,1,1
98841686,1,1,22.0,0,1,1962,0.0,0.0,0,1,0,0,1,3,0,5,3,4,0,3,3,5,3,0,0
98812211,1,0,62.0,1,1,3734,12.0,3.0,4,0,3,4,1,5,4,5,5,0,3,1,5,1,5,0,0
98882370,1,0,40.0,0,0,2367,11.0,7.0,0,0,0,0,2,1,1,3,3,3,3,2,3,3,0,1,1
