Sales,CategoryName,Profit_Ratio,Discount,Quantity,Order_Profit ,Product_type,Prod_Category_Id,ProductLength,ProductWeight,Dispatched,Scheduled_Shipping,Delivery_Review,Session_Ordered,WeekdayOrder,Cust_State_Encoded,Customer_Category_Encoded,Transcation_Encoded,Shipping_Class_Encoded,Warehouse_Region_Encoded,Order_zone_Encoded,y_pred,y_act,OrderId
218,43,0.16,0.12,1,2277.45,0,48,77,3714,0,5,4,1,1,5,1,2,3,4,0,1,1,2420151
193,47,0.07,0.07,2,506.54,0,9,84,1248,0,4,4,3,1,15,0,1,1,2,4,1,1,2378909
142,3,0.34,0.01,1,3176.82,0,18,152,1699,0,6,2,3,0,5,2,3,3,3,4,1,0,2371965
247,43,0.35,0.01,1,4972.23,1,48,136,2117,0,6,2,3,0,12,0,3,3,0,1,1,1,2394608
536,47,0.11,0.01,5,791.9,0,9,45,1595,1,3,5,2,1,7,0,3,3,0,4,0,0,2356878
165,3,0.28,0.04,1,2580.98,0,18,133,2624,0,5,3,2,1,13,0,1,3,4,3,1,1,2430635
121,3,0.38,0.19,1,3539.52,0,18,58,295,0,2,2,3,0,3,2,2,1,4,0,0,0,2483709
149,11,0.45,0.13,3,1889.95,1,17,205,21189,1,6,2,3,0,8,0,2,3,2,4,1,1,2398124
227,43,0.02,0.01,1,286.47,1,48,163,7009,0,4,3,3,1,1,0,3,3,3,2,0,0,2414809
125,3,-0.04,0.25,1,-371.43,1,18,13,1905,0,4,3,3,0,16,2,2,3,2,3,0,0,2490361
81,11,0.41,0.16,2,1736.48,1,17,37,273,1,5,4,2,1,14,0,3,3,3,0,1,1,2502880
131,45,0.34,0.1,2,1209.32,0,46,81,1415,0,3,4,2,0,9,0,1,1,3,1,1,1,2474934
54,33,0.11,0.06,1,388.95,1,24,52,288,1,2,3,2,1,1,0,2,0,0,3,1,1,2516732
485,47,0.29,0.03,5,2066.87,0,9,78,1204,1,4,3,1,1,7,1,2,2,0,4,1,0,2380647
415,6,-0.24,0.13,1,-7713.24,1,62,62,812,0,3,3,3,1,11,0,3,1,0,3,1,0,2459357
131,33,0.21,0.1,2,754.25,1,24,83,1623,0,4,2,3,0,17,0,2,0,2,4,1,0,2384414
363,25,0.35,0.11,1,9915.3,1,45,115,1169,1,2,4,1,1,1,1,1,2,4,3,1,1,2489552
315,4,0.34,0.11,1,7258.63,0,43,206,17220,1,2,5,2,0,3,0,3,0,2,0,1,1,2497816
63,22,0.28,0.11,2,779.7,1,29,183,3477,1,5,2,3,0,16,0,3,3,0,3,1,1,2476710
171,11,0.35,0.06,3,1534.7,0,17,86,24141,1,5,4,1,1,10,1,3,1,4,3,1,1,2425995
173,15,0.35,0.11,1,5266.03,0,70,97,2691,0,5,4,3,0,17,0,2,3,3,2,1,0,2435211
116,33,0.32,0.16,3,1137.39,0,24,30,1890,1,6,4,2,1,1,1,2,3,4,4,1,1,2355877
198,43,0.29,0.1,1,4104.98,0,48,156,3145,0,4,4,2,0,13,0,1,0,3,2,1,0,2443915
173,12,0.21,0.16,2,405.61,0,40,26,355,1,6,2,1,1,6,2,2,3,2,3,1,0,2505466
152,3,0.04,0.11,1,375.96,0,18,73,582,0,4,4,3,1,3,0,3,3,2,1,0,0,2462939
44,11,-0.01,0.21,1,-39.15,1,17,161,1620,1,3,4,3,0,17,0,1,3,3,3,0,0,2430195
77,33,0.31,0.06,1,1092.39,0,24,70,1207,1,4,3,2,1,3,2,2,1,0,2,1,0,2483453
375,47,0.29,0.16,4,2086.96,1,9,178,1035,1,6,5,2,0,10,2,2,1,2,4,1,1,2489721
224,45,-0.01,0.11,5,-33.15,0,46,67,205,0,4,3,1,0,7,1,3,3,0,3,0,0,2519117
219,43,-1.75,0.03,1,-24717.17,0,48,39,371,0,4,4,3,1,3,1,2,0,3,3,1,0,2415585
125,3,0.11,0.11,1,1010.15,1,18,47,396,1,2,3,3,0,14,2,2,3,2,0,0,0,2504268
173,22,-0.78,0.16,3,-2197.64,0,29,182,13604,1,3,2,1,1,7,2,2,3,0,4,0,0,2491310
108,3,-0.81,0,1,-7475.57,0,18,33,31,0,2,4,1,0,6,1,1,0,4,0,1,0,2410259
186,43,0.45,0.19,1,6406.85,1,48,32,1613,1,5,4,1,0,17,2,0,3,0,4,1,0,2394480
162,43,0.41,0.19,1,5832.03,0,48,147,2221,0,4,4,3,1,14,0,2,3,4,4,0,0,2416515
34,45,0.35,0.18,1,1261.78,1,46,85,962,1,3,3,1,0,0,2,1,1,0,2,1,1,2484997
212,43,0.32,0.03,1,4526.49,0,48,107,3075,1,4,4,1,0,9,1,2,3,0,0,0,0,2445131
157,3,0.06,0.16,1,562.82,0,18,85,1640,0,5,4,2,1,0,1,2,3,3,3,1,0,2342427
252,33,0.5,0.12,5,1767.85,0,24,35,475,0,2,2,3,1,12,0,2,0,2,3,1,0,2518090
233,45,0.12,0.04,4,438.19,0,46,73,545,0,2,4,3,1,14,0,2,0,2,4,1,0,2452233
115,22,0.13,0.1,3,385.6,1,29,70,221,0,2,1,2,0,3,0,3,3,0,1,0,0,2503162
46,45,0.5,0.03,1,1790.1,0,46,178,2754,0,6,4,1,1,12,0,1,1,0,3,1,0,2454499
142,39,0.45,0.07,1,4133.05,0,32,158,2006,0,5,4,2,0,14,0,3,3,0,2,1,1,2392808
107,36,0.11,0.21,4,197.27,0,35,82,1598,0,3,2,3,0,5,0,1,3,3,2,0,0,2373922
136,45,0.47,0.04,3,1713.57,1,46,167,1141,0,2,5,1,1,10,2,3,3,1,0,0,0,2453398
203,43,0.26,0.11,1,3670.5,1,48,172,3014,0,4,3,2,1,10,0,2,3,4,3,0,0,2420546
155,3,0.39,0.04,1,3656.74,0,18,92,2925,1,4,3,3,0,0,0,2,1,1,2,1,1,2405411
189,43,0.24,0.12,1,3444.09,1,48,51,371,0,6,4,2,1,14,1,2,1,0,4,1,1,2445048
124,3,0.45,0.06,1,4184.81,0,18,93,3579,0,5,3,2,0,3,1,2,3,0,2,1,1,2391983
164,3,0.28,0.04,1,2558.42,1,18,153,3076,1,5,2,2,1,16,0,1,3,0,3,1,1,2467983
62,48,0.13,0.1,3,164.69,0,41,70,355,1,6,5,1,1,9,0,0,3,3,3,1,0,2516153
69,22,0.25,0.04,2,720.07,1,29,67,998,0,6,4,2,1,0,1,3,3,2,0,1,1,2428609
303,25,0.1,0.21,1,2836.8,0,45,75,2462,1,5,2,2,0,11,2,1,1,0,3,1,1,2487075
93,3,-0.25,0.19,1,-2310.52,0,18,120,3484,0,3,3,3,0,5,2,2,1,0,1,1,1,2438972
103,3,0.29,0.02,1,2660.29,1,18,191,3501,0,2,3,2,1,14,1,1,0,4,4,1,1,2369993
308,11,0.34,0,5,1438.71,1,17,193,38059,0,2,5,2,0,15,1,3,0,2,4,1,1,2463601
167,13,0.37,0.21,1,5688.6,0,76,110,2409,0,3,3,2,1,13,0,1,3,3,2,0,0,2469189
367,25,0.47,0.02,1,13364.44,1,45,39,1163,1,2,2,3,0,9,1,2,3,0,1,0,0,2486989
399,25,0.38,0.03,1,10825.76,1,45,119,1991,0,4,3,2,1,10,2,1,3,3,4,0,0,2347764
122,45,0.19,0.11,3,691.04,0,46,105,2941,0,5,2,2,1,8,0,2,3,1,4,1,1,2454579
92,11,0.37,0.18,1,1560.45,0,17,109,1045,1,4,4,2,0,5,1,2,1,0,3,1,0,2380753
139,3,0.37,0.16,1,3411.33,0,18,37,1640,1,6,4,2,0,9,0,1,3,0,2,1,1,2380302
187,11,0.35,0.13,4,1521.26,0,17,126,3182,0,5,4,3,1,2,0,3,3,1,1,1,1,2341735
216,33,0.13,0.16,4,478.59,1,24,132,1280,1,6,5,1,0,15,0,2,3,0,2,1,1,2471307
173,4,0.38,0.02,1,8136.45,0,43,34,198,1,3,4,2,0,12,0,0,3,4,3,0,0,2515756
181,43,0.31,0.12,1,4445.31,1,48,35,1894,1,4,3,3,1,15,1,1,3,0,2,0,0,2395281
119,3,-1.75,0.19,1,-16154.68,0,18,22,2050,0,4,3,3,0,5,0,1,3,2,3,0,0,2429413
66,45,0.31,0.07,1,1118.2,1,46,57,2008,1,3,3,3,1,14,2,1,3,1,3,0,0,2454328
36,1,0.5,0.12,1,1124.22,0,44,175,1600,0,3,5,2,0,15,0,0,3,1,4,0,0,2358553
162,33,0.26,0.07,4,955.56,1,24,41,313,1,2,2,2,0,3,2,3,0,2,2,1,1,2510377
277,4,0.34,0.03,1,7278.21,0,43,78,265,1,3,3,2,1,10,1,2,3,2,0,0,0,2401980
244,47,0.5,0.02,2,3586.67,0,9,90,1033,0,5,2,2,0,9,1,3,3,2,4,1,0,2466177
104,11,0.35,0.21,2,1464.27,0,17,19,1465,0,4,3,3,1,11,0,2,3,0,4,0,0,2436936
114,3,0.26,0.02,1,2409.98,0,18,177,1078,0,5,4,3,0,13,1,3,3,3,4,1,1,2465636
90,3,0.5,0.13,1,4617.8,1,18,104,1142,0,6,3,3,0,4,0,3,3,4,2,1,1,2476276
199,43,0.35,0.06,1,4984.5,1,48,63,2080,0,4,4,3,1,1,0,3,3,4,1,0,0,2420345
107,22,0.1,0.06,3,284.47,0,29,112,2084,1,0,3,2,1,8,1,2,2,3,3,0,0,2380597
199,33,0.34,0.12,5,1225.54,0,24,84,3763,0,5,4,1,1,17,1,1,1,2,4,1,0,2386415
134,3,0.24,0.16,1,2216.75,1,18,14,2118,0,4,2,2,0,4,0,3,3,1,4,0,0,2500401
144,3,0.29,0.02,1,2662.29,1,18,23,1243,0,4,4,2,0,4,0,3,3,1,4,0,0,2500388
111,3,0.29,0.19,1,2694.7,0,18,202,3275,0,3,3,1,0,5,0,0,0,0,2,1,1,2347347
158,11,0.45,0.04,3,1951.38,1,17,209,21721,0,5,2,3,1,8,0,3,1,2,2,1,0,2460855
193,22,-0.81,0,4,-2303.22,0,29,81,308,1,5,4,1,1,0,2,3,3,0,1,1,1,2513335
206,43,-0.22,0.06,1,-3147.8,1,48,117,2357,1,2,4,2,1,11,1,0,0,0,1,1,1,2394417
72,12,0.34,0.19,2,625.68,1,40,49,1219,1,3,4,3,0,12,1,2,3,0,1,0,0,2350422
99,11,-0.19,0.1,2,-807.67,1,17,77,1079,0,4,5,2,1,13,0,2,1,0,3,1,0,2348677
94,47,0.11,0.12,1,798.31,0,9,85,1585,0,3,2,3,0,7,0,2,3,0,4,0,0,2354118
173,11,0.13,0.21,4,573.03,0,17,86,740,0,4,4,3,0,8,0,0,3,3,1,0,0,2376723
94,33,0.28,0.04,2,1008.25,0,24,103,3246,0,4,4,3,0,0,0,2,0,1,0,1,1,2384227
185,43,0.5,0.07,1,7135.46,1,48,68,1831,0,3,2,2,0,9,1,2,3,3,4,0,0,2415589
207,43,0.13,0.19,1,1861.56,0,48,175,3383,0,4,4,1,0,12,0,0,0,1,1,1,1,2414445
116,3,0.35,0.06,1,3239.05,1,18,46,1963,0,3,2,3,1,4,0,2,3,3,4,0,0,2435139
378,47,0.16,0.06,4,1147.65,0,9,79,2104,1,4,3,3,1,8,1,0,1,0,3,1,1,2359904
258,4,-0.65,0.1,1,-13938.95,1,43,40,18,1,5,2,3,0,2,0,1,1,2,1,1,0,2378398
344,4,0.21,0.02,1,4487.02,1,43,86,28842,1,5,3,1,0,2,1,1,3,0,1,1,0,2432232
109,45,0.26,0.03,2,922.24,0,46,196,13278,0,4,4,3,0,17,0,1,1,0,2,1,1,2419122
186,11,0.29,0.19,3,1224.31,1,17,76,1256,1,6,3,3,1,2,2,2,3,3,3,1,1,2491438
263,11,0.11,0.13,5,476.08,0,17,37,243,0,4,4,2,0,16,0,3,3,0,3,0,0,2521100
174,43,0.45,0.03,1,6436.75,1,48,83,1185,0,3,3,2,0,5,0,3,3,3,4,0,0,2415477
387,47,0.13,0.16,4,918.58,0,9,90,2034,0,6,4,3,0,1,2,3,3,0,4,1,0,2372602
76,31,0.16,0.03,1,962.78,0,72,28,432,1,5,4,1,0,11,1,2,1,3,0,1,1,2390344
173,6,0.16,0.1,1,5138,0,62,137,3774,0,2,4,1,1,17,0,3,3,0,4,0,0,2462219
32,11,0.11,0.07,1,486.89,0,17,171,43353,1,4,3,1,0,4,1,3,3,4,1,0,0,2428374
363,25,-0.19,0.13,1,-5397.75,1,45,47,42,0,4,4,1,0,17,0,3,3,4,3,0,0,2492665
36,22,0.37,0.25,1,1090.21,0,29,122,1757,0,3,4,1,0,14,0,2,3,4,1,0,0,2436505
86,11,0.28,0.19,2,1173.02,1,17,62,222,1,3,3,1,0,4,0,2,3,4,1,0,0,2364131
77,11,0.13,0.19,2,558.8,1,17,84,34522,1,6,4,1,0,3,0,1,3,2,1,1,1,2495904
490,14,0.28,0.03,1,9175.1,0,66,105,1593,0,5,4,2,1,4,2,2,3,0,0,1,1,2440091
133,45,-0.11,0.13,2,-398.41,0,46,194,6228,0,4,4,2,0,2,1,3,3,3,3,0,0,2473484
51,33,0.31,0.06,1,1093.75,0,24,49,162,1,3,3,3,0,10,2,3,3,1,2,0,0,2511481
109,3,-0.04,0.06,1,-365.44,1,18,94,2120,1,2,4,2,1,2,1,0,3,4,3,0,0,2367378
104,48,0.24,0.01,4,291.71,1,41,95,3463,0,2,3,3,1,6,0,3,1,3,4,0,0,2461168
314,4,0.37,0.04,1,7845.86,1,43,195,3733,0,5,3,2,0,14,0,3,3,0,1,1,1,2462514
33,45,0.04,0.25,1,141.12,1,46,71,258,0,0,4,1,1,0,0,2,2,2,4,0,0,2448016
395,25,0.11,0.12,1,3131.32,0,45,81,701,0,5,4,2,1,7,1,2,3,2,3,1,0,2382737
115,22,0.06,0.12,3,178.78,0,29,146,2523,0,2,4,2,0,12,1,1,0,4,3,1,0,2370234
337,4,0.11,0.03,1,2341.94,0,43,192,17976,0,6,3,1,0,15,0,2,3,0,3,1,0,2424386
472,47,0.13,0.06,5,926.68,0,9,49,1064,0,2,3,2,0,0,0,2,0,2,3,1,0,2385223
240,4,0.5,0.16,1,10640.82,1,43,55,453,0,6,2,1,1,10,2,3,1,3,2,1,1,2511035
176,3,0.32,0.01,1,2964.81,1,18,149,1303,0,6,4,2,1,9,0,1,3,3,3,1,1,2429953
155,33,0.26,0.13,3,949.93,0,24,54,1690,0,4,4,2,0,8,1,2,3,2,3,0,0,2409023
482,47,0.29,0.06,5,2079.53,1,9,160,3457,1,4,4,2,1,12,0,2,3,0,3,0,0,2399337
245,33,0.31,0.12,5,1136.73,0,24,164,34285,0,4,3,3,1,3,0,2,3,3,0,0,0,2399816
91,22,-0.24,0.1,3,-687.09,0,29,68,304,0,3,3,2,0,8,1,0,1,2,2,1,0,2349360
317,4,0.24,0.07,1,5135.13,0,43,128,1247,1,5,3,2,1,12,0,3,1,2,1,1,1,2499425
267,33,0.12,0.01,5,432.08,1,24,135,2538,0,6,3,3,0,0,0,3,1,2,2,1,1,2500264
279,32,0.35,0.06,1,7324.81,0,69,75,2302,0,5,4,1,0,0,1,3,3,3,2,1,0,2427945
146,22,-0.81,0.21,5,-2300.49,1,29,146,1570,0,5,3,3,1,12,0,2,3,3,1,1,1,2350830
168,3,0.13,0.04,1,1213.69,0,18,158,1610,0,2,4,1,0,9,1,3,0,0,3,1,1,2411908
65,23,0.06,0.04,3,107.6,1,5,187,20713,1,4,4,1,1,5,0,1,3,3,3,0,0,2449533
152,33,0.21,0.12,4,728.61,1,24,154,31662,0,3,3,1,1,5,0,1,0,0,2,1,0,2360982
395,25,-0.31,0.07,1,-8803.59,0,45,72,540,1,2,2,3,0,16,1,1,1,2,3,0,0,2371085
225,43,0.13,0.1,1,1858.85,1,48,59,2046,0,4,5,1,1,11,0,2,3,2,1,0,0,2417454
66,45,-1.71,0.25,2,-5917.15,1,46,88,479,0,5,1,1,0,7,1,2,1,0,4,1,0,2519110
165,33,-1.71,0.1,4,-5945.4,0,24,83,1775,0,4,3,2,1,13,0,1,1,4,1,1,0,2379527
204,43,0.35,0.1,1,5022.6,1,48,73,642,0,4,4,1,0,17,0,2,0,4,2,1,1,2420880
448,14,-0.06,0.03,1,-1962.76,1,66,203,3332,1,4,5,1,0,5,0,1,3,3,2,0,0,2429996
